,cpi,Month,Year
0,216.509,October,2009
1,215.861,September,2009
2,215.445,August,2009
3,214.726,July,2009
4,214.79,June,2009
5,213.022,May,2009
6,216.995,October,2008
7,218.877,September,2008
8,218.69,August,2008
9,219.016,July,2008
10,217.463,June,2008
11,215.208,May,2008
12,209.19,October,2007
13,208.547,September,2007
14,207.667,August,2007
15,207.603,July,2007
16,207.234,June,2007
17,206.755,May,2007
18,201.9,October,2006
19,202.8,September,2006
20,203.8,August,2006
21,202.9,July,2006
22,201.8,June,2006
23,201.3,May,2006
24,199.1,October,2005
25,198.8,September,2005
26,196.1,August,2005
27,194.9,July,2005
28,193.7,June,2005
29,193.6,May,2005
30,190.8,October,2004
31,189.8,September,2004
32,189.2,August,2004
33,189.1,July,2004
34,188.9,June,2004
35,188.2,May,2004
36,184.9,October,2003
37,185.1,September,2003
38,184.5,August,2003
39,183.7,July,2003
40,183.1,June,2003
41,182.9,May,2003
42,181.2,October,2002
43,180.8,September,2002
44,180.5,August,2002
45,180.0,July,2002
46,179.6,June,2002
47,179.5,May,2002
48,177.6,October,2001
49,178.1,September,2001
50,177.4,August,2001
51,177.4,July,2001
52,177.7,June,2001
53,177.3,May,2001
54,173.9,October,2000
55,173.6,September,2000
56,172.7,August,2000
57,172.7,July,2000
58,172.2,June,2000
59,171.2,May,2000
60,257.244,October,2019
61,256.511,September,2019
62,256.059,August,2019
63,255.685,July,2019
64,255.159,June,2019
65,255.29,May,2019
66,252.772,October,2018
67,252.182,September,2018
68,251.663,August,2018
69,251.214,July,2018
70,251.018,June,2018
71,250.792,May,2018
72,246.626,October,2017
73,246.435,September,2017
74,245.183,August,2017
75,244.243,July,2017
76,244.163,June,2017
77,244.004,May,2017
78,241.741,October,2016
79,241.176,September,2016
80,240.545,August,2016
81,240.101,July,2016
82,240.222,June,2016
83,239.557,May,2016
84,237.733,October,2015
85,237.498,September,2015
86,238.033,August,2015
87,238.034,July,2015
88,237.657,June,2015
89,237.001,May,2015
90,237.43,October,2014
91,237.477,September,2014
92,237.46,August,2014
93,237.498,July,2014
94,237.231,June,2014
95,236.918,May,2014
96,233.669,October,2013
97,233.544,September,2013
98,233.456,August,2013
99,232.9,July,2013
100,232.445,June,2013
101,231.893,May,2013
102,231.638,October,2012
103,231.015,September,2012
104,229.918,August,2012
105,228.59,July,2012
106,228.524,June,2012
107,228.713,May,2012
108,226.75,October,2011
109,226.597,September,2011
110,226.106,August,2011
111,225.395,July,2011
112,224.806,June,2011
113,224.806,May,2011
114,219.035,October,2010
115,218.275,September,2010
116,217.923,August,2010
117,217.605,July,2010
118,217.199,June,2010
119,217.29,May,2010
120,307.619,October,2023
121,307.481,September,2023
122,306.269,August,2023
123,304.348,July,2023
124,303.841,June,2023
125,303.294,May,2023
126,297.987,October,2022
127,296.539,September,2022
128,295.32,August,2022
129,294.628,July,2022
130,294.728,June,2022
131,291.268,May,2022
132,276.522,October,2021
133,274.028,September,2021
134,272.87,August,2021
135,271.764,July,2021
136,270.559,June,2021
137,268.444,May,2021
138,260.286,October,2020
139,260.029,September,2020
140,259.411,August,2020
141,258.278,July,2020
142,256.986,June,2020
143,255.868,May,2020
