DATE,WAWHIT5POP
1970-01-01,37.900
1971-01-01,38.900
1972-01-01,41.300
1973-01-01,41.300
1974-01-01,42.000
1975-01-01,37.600
1976-01-01,39.300
1977-01-01,39.000
1978-01-01,39.300
1979-01-01,39.200
1980-01-01,40.103
1981-01-01,40.504
1982-01-01,39.950
1983-01-01,39.148
1984-01-01,39.551
1985-01-01,39.438
1986-01-01,38.862
1987-01-01,38.628
1988-01-01,38.561
1989-01-01,38.569
1990-01-01,38.857
1991-01-01,38.775
1992-01-01,38.951
1993-01-01,39.400
1994-01-01,39.864
1995-01-01,40.457
1996-01-01,40.449
1997-01-01,40.087
1998-01-01,40.595
1999-01-01,40.886
2000-01-01,40.706
2001-01-01,40.565
2002-01-01,41.027
2003-01-01,40.797
2004-01-01,41.280
2005-01-01,41.717
2006-01-01,41.515
2007-01-01,41.143
2008-01-01,42.073
2009-01-01,42.724
2010-01-01,44.795
2011-01-01,45.067
2012-01-01,46.66
2013-01-01,46.831
2014-01-01,46.965
2015-01-01,48.224
2016-01-01,48.912
2017-01-01,49.514
2018-01-01,49.821
2019-01-01,50.136
2020-01-01,47.804
2021-01-01,43.238
2022-01-01,47.619
